sub_characteristic,l1,l2,l3,l4,l5
accuracy,min,min,full,full,full
effectiveness,none,none,min,min,full
responsiveness,full,full,full,full,full
usability,none,none,full,full,full
cost_effectiveness,none,none,none,none,full
efficiency,none,none,none,min,full
availability,full,full,full,full,full
resilience,none,none,min,min,full
adaptability,none,none,min,full,full
scalability,none,none,none,none,full
repeatability,none,none,min,full,full
monitoring,none,none,min,min,full
maintainability,none,min,min,min,full
modularity,none,min,min,min,full
testability,none,min,min,min,full
operability,min,min,full,full,full
discoverability,none,none,full,full,full
readability,none,none,min,min,full
traceability,none,none,min,full,full
understandability,min,min,full,full,full
explainability,none,none,none,full,full
fairness,full,full,full,full,full
ownership,full,full,full,full,full
standards_compliance,full,full,full,full,full
vulnerability,full,full,full,full,full
